Combination,Stage 1 Time,Stage 2 Time,Stage 3 Time,Stage 4 Time,Total Time
"VM6,VM4,VM9,VM3",0.08957810593918628,0.09171505989673144,223.41588681386196,0.26817198216698923,223.86535196186486
"VM1,VM4,VM9,VM3",0.09012643307048293,0.09171505989673144,223.41588681386196,0.26817198216698923,223.86590028899616
"VM2,VM4,VM9,VM3",0.09101366999592361,0.09171505989673144,223.41588681386196,0.26817198216698923,223.8667875259216
"VM5,VM2,VM8,VM9",0.1003234251028126,0.117232698396713,237.47462497921828,0.5147973475254339,238.20697845024324
"VM3,VM5,VM8,VM9",0.09813803790353368,0.12099474761302445,237.47462497921828,0.5147973475254339,238.20855511226029
"VM7,VM5,VM8,VM9",0.09822188847215974,0.12099474761302445,237.47462497921828,0.5147973475254339,238.2086389628289
"VM9,VM4,VM5,VM3",0.08838824786861156,0.09171505989673144,305.18140191690014,0.26817198216698923,305.62967720683247
"VM6,VM4,VM5,VM3",0.08957810593918628,0.09171505989673144,305.18140191690014,0.26817198216698923,305.63086706490304
"VM1,VM4,VM5,VM3",0.09012643307048293,0.09171505989673144,305.18140191690014,0.26817198216698923,305.63141539203434
"VM8,VM2,VM5,VM9",0.09858323793159794,0.117232698396713,305.18140191690014,0.5147973475254339,305.91201520075384
"VM3,VM2,VM5,VM8",0.09813803790353368,0.117232698396713,305.18140191690014,0.5154475054304514,305.9122201586309
"VM7,VM2,VM5,VM8",0.09822188847215974,0.117232698396713,305.18140191690014,0.5154475054304514,305.9123040091995
"VM9,VM4,VM6,VM3",0.08838824786861156,0.09171505989673144,351.62300123771996,0.26817198216698923,352.0712765276523
"VM1,VM4,VM6,VM3",0.09012643307048293,0.09171505989673144,351.62300123771996,0.26817198216698923,352.07301471285416
"VM2,VM4,VM6,VM3",0.09101366999592361,0.09171505989673144,351.62300123771996,0.26817198216698923,352.07390194977955
"VM8,VM5,VM6,VM9",0.09858323793159794,0.12099474761302445,351.62300123771996,0.5147973475254339,352.35737657079
"VM3,VM5,VM6,VM8",0.09813803790353368,0.12099474761302445,351.62300123771996,0.5154475054304514,352.35758152866697
"VM7,VM5,VM6,VM8",0.09822188847215974,0.12099474761302445,351.62300123771996,0.5154475054304514,352.35766537923564
"VM9,VM4,VM7,VM3",0.08838824786861156,0.09171505989673144,743.7917627157169,0.26817198216698923,744.2400380056492
"VM6,VM4,VM7,VM3",0.08957810593918628,0.09171505989673144,743.7917627157169,0.26817198216698923,744.2412278637198
"VM1,VM4,VM7,VM3",0.09012643307048293,0.09171505989673144,743.7917627157169,0.26817198216698923,744.2417761908512
"VM8,VM5,VM2,VM9",0.09858323793159794,0.12099474761302445,757.5749359457112,0.5147973475254339,758.3093112787814
"VM3,VM5,VM2,VM8",0.09813803790353368,0.12099474761302445,757.5749359457112,0.5154475054304514,758.3095162366582
"VM7,VM5,VM2,VM8",0.09822188847215974,0.12099474761302445,757.5749359457112,0.5154475054304514,758.3096000872268
"VM9,VM4,VM1,VM3",0.08838824786861156,0.09171505989673144,793.5269386769921,0.26817198216698923,793.9752139669245
"VM6,VM4,VM1,VM3",0.08957810593918628,0.09171505989673144,793.5269386769921,0.26817198216698923,793.976403824995
"VM2,VM4,VM1,VM3",0.09101366999592361,0.09171505989673144,793.5269386769921,0.26817198216698923,793.9778393890518
"VM5,VM2,VM3,VM8",0.1003234251028126,0.117232698396713,805.3468704586224,0.5154475054304514,806.0798740875524
"VM7,VM5,VM3,VM9",0.09822188847215974,0.12099474761302445,805.3468704586224,0.5147973475254339,806.0808844422331
"VM8,VM5,VM3,VM9",0.09858323793159794,0.12099474761302445,805.3468704586224,0.5147973475254339,806.0812457916926
