Bin Start,Bin End,Frequency
223.86535196186486,268.65121216480895,672
268.65121216480895,313.43707236775305,336
313.43707236775305,358.22293257069714,336
358.22293257069714,403.0087927736413,0
403.0087927736413,447.7946529765853,0
447.7946529765853,492.5805131795295,0
492.5805131795295,537.3663733824735,0
537.3663733824735,582.1522335854177,0
582.1522335854177,626.9380937883618,0
626.9380937883618,671.7239539913058,0
671.7239539913058,716.5098141942499,0
716.5098141942499,761.295674397194,1008
761.295674397194,806.0815346001381,672
